unique monsters drop corrupted items,unqiues monsters drop corrupted items
area contains a smuggler's cache,contain smuggler's cache
map bosses have 20% increased life quality bonus of your maps also applies to rarity of items found,quality bonus applies to rarity
rerolling favours at ritual altars in your maps has no cost the first 1 time,ritual rerolls
your maps contain an additional abyss your maps can contain abysses,contain abyss
your maps contain a blight encounter,contain blight
your maps contain niko,contain niko
your maps contain an additional gloom shrine 50% increased duration of shrine effects on players in your maps,gloom shrine
the first 3 possessed monsters drop an additional polished scarab your maps contain an additional tormented betrayer,polished scarab from possessed
area contains metamorph monsters,contain metamorph
your maps contain alva,contain alva
25% increased magic pack size,25% magic pack size
monsters imprisoned by essences have a 50% chance to contain a remnant of corruption your maps contain an additional essence,remnant of corruption 1 essence
your maps contain a mirror of delirium,contain delirium
your maps contain an additional legion encounter,contain legion
your maps contain a mirror of delirium,contain delirium
non-unique heist contracts found in your maps have an additional implicit modifier,heist contracts have additional mod
your maps contain jun,contain jun
your maps contain einhar,contain einhar
area contains metamorph monsters,contain metamorph
breaches in your maps belong to xoph breaches in your maps contain 3 additional clasped hands,xoph breaches
legion monsters in your maps have 100% more life splinters and emblems dropped by legion monsters in your maps are duplicated,legion duplicate
players and their minions cannot take reflected damage your maps contain 5 additional packs with mirrored rare monsters,cannot take reflected
your maps contain a blight encounter,contain blight
30% increased magic pack size,magic pack size
unique monsters drop corrupted items,unqiues monsters drop corrupted items
breaches in your maps belong to tul breaches in your maps contain 3 additional clasped hands,tul breaches
oils found in your maps are 1 tier higher cost of building and upgrading blight towers in your maps is doubled,oils found are 1 tier higher
your maps contain jun,contain jun
your maps contain an additional legion encounter,contain legion
map bosses deal 20% increased damage your maps have 20% quality,maps have 20% quality
legion monsters in your maps have 100% more life splinters and emblems dropped by legion monsters in your maps are duplicated,legion duplicated
maps found in your maps are corrupted with 8 modifiers,corrupted maps drop with 8 mods
breaches in your maps belong to chayula breaches in your maps contain 3 additional clasped hands,chayula breaches
create a copy of beasts captured in your maps,beasts duplicated
map bosses are accompanied by a mysterious harbinger map bosses drop additional currency shards harbingers in your maps drop additional currency shards,contain mysterious harbingers
catalysts dropped by metamorphs in your maps are duplicated metamorphs in your maps have 100% more life,metamorph duplicated
your maps contain 100% increased number of runic monster markers,runic monster markers
players and their minions cannot take reflected damage your maps contain 4 additional packs with mirrored rare monsters,cannot take reflected
your magic maps contain 4 additional packs of magic monsters your normal maps contain 4 additional packs of normal monsters your rare maps contain 4 additional rare monster packs,additional 4 packs by rarity
